Rol,Testscenario,Verwacht resultaat
Gast,Open `/`.,"Banenkaart (lijst + kaart) laadt zonder login. Geen bottom-nav. Header toont logo, taalkeuze en **Inloggen**."
Gast,Klik logo **Lobsy**.,Blijft op of navigeert naar `/`.
Gast,Klik footer **Privacy**.,Pagina `/privacy` met privacyverklaring; link naar **Mijn gegevens** en mailto privacy.
Gast,Klik op `/privacy` de link **Mijn gegevens** (`/privacy/data`).,Autorisatie-redirect: Systeem triggert een redirect naar `/login` (met returnUrl). Externe data-export is pas zichtbaar na succesvolle authenticatie.
Gast,Klik footer **Algemene voorwaarden**.,`/algemene-voorwaarden` toont voorwaarden.
Gast,Klik footer **Gebruiksvoorwaarden**.,`/gebruiksvoorwaarden` toont gebruiksvoorwaarden.
Gast,Klik footer **Wie zijn wij**.,`/wie-zijn-wij` toont About-CMS-content (of leeg/placeholder als niet gevuld).
Gast,Klik footer **Westland**.,"Teaser `/westland` in teaser-layout (livedatum 18 nov, tarieven, CTA’s)."
Gast,Open `/lancering`.,Zelfde teaser als `/westland`.
Gast,Cookie-banner: **Alleen noodzakelijk**.,Strikt functioneel: Banner sluit direct. Geen analytische trackers of cookies worden geplaatst; geen analytics-POST naar de server. Keuze wordt opgeslagen in localStorage en cookie.
Gast,Cookie-banner: **Accepteer cookies**.,Banner verdwijnt. Analytics mag fire’n (`X-Jobsy-Cookie-Consent`).
Gast,Cookie-banner: klik Privacy-link in de banner.,`/privacy` opent; banner mag zichtbaar blijven tot een keuze.
Gast,Herlaad na cookie-keuze.,Banner blijft weg.
Gast,Taalkeuze: **Nederlands**.,UI blijft/wordt NL.
Gast,Taalkeuze: **English**.,UI-labels schakelen naar Engels; kaart blijft werken.
Gast,"Taalkeuze: **Polski**, **Română**.",UI schakelt; geen crash.
Gast,Taalkeuze: **العربية**.,"UI RTL; layout blijft bruikbaar (filters, kaart, login)."
Gast,Klik **Inloggen** in de header.,`/login` als modal; achtergrond banenkaart.
Gast,Login-modal: klik backdrop of **×**.,Schermbehoud: Modal sluit zonder navigatie; gebruiker blijft op de huidige pagina (`/`) en wordt niet naar een beschermde returnUrl gestuurd.
Gast,Login-modal: **Terug naar de kaart**.,Zelfde: `/`.
Gast,Login: **Registreer via KVK**.,`/register` wizard stap KVK.
Gast,Login: leeg e-mail/wachtwoord submit.,Client-side validatie: HTML5 required attributen of serverweigering blokkeren de submit. Er wordt geen sessie aangemaakt.
Gast,Login: ongeldig wachtwoord (`niet@bestaat.nl` / `fout`).,Veilige foutmelding: Systeem retourneert een generieke foutmelding (zonder PII of stacktrace om brute-force te ontmoedigen); gebruiker blijft op het login-scherm.
Gast,Login: Microsoft-knop terwijl Entra niet geconfigureerd is.,UI-blokkade: De OAuth-knop wordt visueel uitgeschakeld (disabled) en toont een informatieve tooltip dat de provider niet actief is.
Gast,Login: Google-knop terwijl Google niet geconfigureerd is.,UI-blokkade: De OAuth-knop wordt visueel uitgeschakeld (disabled) en toont een informatieve tooltip dat de provider niet actief is.
Gast,"Login: Microsoft/Google wél geconfigureerd, daarna IdP-annulering.",Graceful fallback: Gebruiker keert terug naar het login-scherm met een specifieke foutcode; er wordt geen incomplete of half-ingestelde sessie aangemaakt.
Gast,Login: Google-account met `email_verified=false`.,Directe weigering: Authenticatie wordt afgewezen; het account wordt niet gekoppeld omdat het e-mailadres niet geverifieerd is bij de provider.
Gast,Open `/login?error=session-expired`.,"Informatieve melding: Het login-scherm toont een duidelijke melding dat de sessie is verlopen, zodat de gebruiker direct opnieuw kan inloggen."
Gast,Open `/login?returnUrl=https://evil.example`.,Sanitatie / Beveiliging: Externe of malafide returnUrl's worden gedetecteerd en genegeerd; geen open redirect kwetsbaarheid.
